"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","143","weather","test_weather","","","","Forecast schema and sanity for New York","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","143","weather","test_weather","","","","Resolved timezone is a non-empty string for London","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","142","weather","test_weather","","","","Resolved timezone is a non-empty string for Tokyo","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","143","weather","test_weather","","","","Forecast schema and sanity for Sydney","GET a city's hourly forecast and validate shape, timing, and coords."
"failed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:38 UTC 2026","85","countries","test_countries","","","","Germany record matches the country schema contract",""
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:41 UTC 2026","143","weather","test_weather","","","","Resolved timezone is a non-empty string for New York","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:39:41 UTC 2026","Fri Jun 26 06:39:41 UTC 2026","142","weather","test_weather","","","","Resolved timezone is a non-empty string for Sydney","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"failed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:38 UTC 2026","87","countries","test_countries","","","","Every inhabited country has a positive population",""
"passed","Fri Jun 26 06:39:39 UTC 2026","Fri Jun 26 06:39:39 UTC 2026","33","pokemon","test_pokemon","","","","Detail schema for charizard","GET /pokemon/{name} → validate id, name, height, weight, types,
    abilities and stats are present and correctly typed."
"passed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:38 UTC 2026","33","pokemon","test_pokemon","","","","Detail schema for pikachu","GET /pokemon/{name} → validate id, name, height, weight, types,
    abilities and stats are present and correctly typed."
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","143","weather","test_weather","","","","Forecast schema and sanity for Nairobi","GET a city's hourly forecast and validate shape, timing, and coords."
"failed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:38 UTC 2026","83","countries","test_countries","","","","A country found by name appears within its own region",""
"passed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:39 UTC 2026","32","pokemon","test_pokemon","","","","Detail schema for bulbasaur","GET /pokemon/{name} → validate id, name, height, weight, types,
    abilities and stats are present and correctly typed."
"passed","Fri Jun 26 06:39:40 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","142","weather","test_weather","","","","Forecast schema and sanity for Tokyo","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Fri Jun 26 06:39:39 UTC 2026","Fri Jun 26 06:39:40 UTC 2026","143","weather","test_weather","","","","Forecast schema and sanity for London","GET a city's hourly forecast and validate shape, timing, and coords."
"failed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:38 UTC 2026","80","countries","test_countries","","","","Europe region returns more than the minimum number of countries",""
"passed","Fri Jun 26 06:39:41 UTC 2026","Fri Jun 26 06:39:41 UTC 2026","142","weather","test_weather","","","","Resolved timezone is a non-empty string for Nairobi","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:39:39 UTC 2026","Fri Jun 26 06:39:39 UTC 2026","54","pokemon","test_pokemon","","","","A name from the list resolves at /pokemon/{name}","Cross-reference: take a name from the live list and fetch its detail.

    This ties the two endpoints together — proving the list's ``name`` values
    are valid lookup keys for the detail endpoint, not just opaque labels.
    "
"passed","Fri Jun 26 06:39:38 UTC 2026","Fri Jun 26 06:39:38 UTC 2026","27","pokemon","test_pokemon","","","","List endpoint returns a populated results array","GET /pokemon?limit=N → non-empty results and a positive total count."
