"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 29 04:37:17 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","96","weather","test_weather","","","","Forecast schema and sanity for Tokyo","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Mon Jun 29 04:37:17 UTC 2026","Mon Jun 29 04:37:17 UTC 2026","97","weather","test_weather","","","","Forecast schema and sanity for London","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","96","weather","test_weather","","","","Resolved timezone is a non-empty string for London","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Mon Jun 29 04:37:15 UTC 2026","Mon Jun 29 04:37:16 UTC 2026","1214","countries","test_countries","","","","Every inhabited country has a positive population",""
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","96","weather","test_weather","","","","Forecast schema and sanity for Sydney","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Mon Jun 29 04:37:15 UTC 2026","Mon Jun 29 04:37:15 UTC 2026","347","countries","test_countries","","","","Europe region returns more than the minimum number of countries",""
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","96","weather","test_weather","","","","Resolved timezone is a non-empty string for New York","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","95","weather","test_weather","","","","Resolved timezone is a non-empty string for Nairobi","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","99","weather","test_weather","","","","Resolved timezone is a non-empty string for Sydney","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Mon Jun 29 04:37:16 UTC 2026","Mon Jun 29 04:37:17 UTC 2026","527","countries","test_countries","","","","A country found by name appears within its own region",""
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","96","weather","test_weather","","","","Forecast schema and sanity for New York","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","96","weather","test_weather","","","","Forecast schema and sanity for Nairobi","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Mon Jun 29 04:37:18 UTC 2026","Mon Jun 29 04:37:18 UTC 2026","95","weather","test_weather","","","","Resolved timezone is a non-empty string for Tokyo","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Mon Jun 29 04:37:15 UTC 2026","Mon Jun 29 04:37:15 UTC 2026","107","countries","test_countries","","","","Germany record matches the country schema contract",""
